가맹점명,사용가능지역화폐,시도명,시군구명,소재지도로명주소,소재지지번주소,업종명,주요상품,전화번호,데이터기준일자
무주냉동,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 한풍루로 418,,,,,2025-01-20
민속한의원,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 삼방로 756-32,,,,,2025-01-20
무주천마농장,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 안성면 장무로 1555-5,,,,,2025-01-20
무주창고,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 적상면 마산내동길 16,,,,,2025-01-20
커피앤커피,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 주계로8길 10  2층 203호,,,,,2025-01-20
반딧불 청정팜,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 장터로 2,,,,,2025-01-20
장터상회,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 설천면 삼도봉로 18,,,,,2025-01-20
무주시장(구미선),무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 장터로 2,,,,,2025-01-20
구천상회,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 장터로 2,,,,,2025-01-20
CU 무주대로점,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 설천면 구천동로 1081,,,,,2025-01-20
이현헤어,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 장터로 15,,,,,2025-01-20
씨유무주만남의광장점,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 무주로 1739,,,,,2025-01-20
베이징,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 향학로 62  1층,,,,,2025-01-20
장미슈퍼,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무풍면 현내로 213,,,,,2025-01-20
라제쉼터,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 설천면 라제통문로 2,,,,,2025-01-20
명품축산도매센터,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 적천로 265,,,,,2025-01-20
렛츠고 무주할인통,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 설천면 만선로 56-7,,,,,2025-01-20
카페라제,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 설천면 라제통문로 2,,,,,2025-01-20
오케이당구장,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 단천로 99  2층,,,,,2025-01-20
무주스키 무한도전,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 설천면 만선로 58,,,,,2025-01-20
레이첼영어교습소,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 향한로 65,,,,,2025-01-20
신통치킨 무주점,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 장터로 15  103호,,,,,2025-01-20
무주1박2일펜션민박,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 설천면 원삼공2길 7-28,,,,,2025-01-20
반딧불드론교육원,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 괴목로 1330,,,,,2025-01-20
무주펜션,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 설천면 구천동1로 135-5,,,,,2025-01-20
짜장짬뽕이야기,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무풍면 현내로 218-3,,,,,2025-01-20
남영제약영농조합,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 무금로 93,,,,,2025-01-20
삼거리주유소,무주사랑상품권,전북특별자치도,무주군,,전북특별자치도 무주군 무풍면 삼거리 256,,,,2025-01-20
무주시장(신예식),무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 장터로 2,,,,,2025-01-20
무주일식,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 향학로 1,,,,,2025-01-20
무주시장(진인숙),무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 장터로 2,,,,,2025-01-20
바람개비 딸기학교,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 오산2길 116-12,,,,,2025-01-20
현이네식당,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 설천면 무설로 1608,,,,,2025-01-20
무주시장(송순애),무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 장터로 2,,,,,2025-01-20
무주시장(서설자),무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 장터로 2,,,,,2025-01-20
로만헤어,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 안성면 시장윗길 6-3,,,,,2025-01-20
무주시장(김영춘),무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 장터로 2,,,,,2025-01-20
신흥제분,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 주계로 55,,,,,2025-01-20
무주시장(김명문),무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 장터로 2,,,,,2025-01-20
칠연폭포송어양어장,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 안성면 통안로 15  1층,,,,,2025-01-20
안성잡곡,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 안성면 칠연로 38,,,,,2025-01-20
만능공업사,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 설천면 무설로 1628,,,,,2025-01-20
무주시장(이명임),무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 장터로 2,,,,,2025-01-20
낙식곰탕,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무풍면 구천동로 574,,,,,2025-01-20
무진장축협 안성지점,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 안성면 안성로 288,,,,,2025-01-20
무주덕유산반딧골영농조합법인,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 안성면 공단로 19,,,,,2025-01-20
반디OA 컴퓨터,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 주계로 148번지 1층,,,,,2025-01-20
노블구제,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 주계로8길 9,,,,,2025-01-20
무주연탄직매소,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 서면길 40,,,,,2025-01-20
안마당,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 주계로 84-1,,,,,2025-01-20
호호분식,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 설처면 무설로 1591,,,,,2025-01-20
개인택시(전북36바3030),무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 안성면 신촌길 6-2,,,,,2025-01-20
신통치킨,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 안성면 안성로 293-1,,,,,2025-01-20
